NDVI,Rainfall_mm,Temperature_C,Elevation_m,Slope_Degrees,Soil_Moisture,Evapotranspiration_mm,Crop_Beans,Crop_Cowpeas,Crop_Irish Potatoes,Crop_Maize,Crop_Pigeon Peas,Crop_Sorghum,Crop_Sweet Potatoes,Crop_Wheat
0.596298595,774.1215149,31.25293658,17.17026877,2.134923767,0.232543315,1021.322889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.443943913,1138.959282,32.59352095,1306.935462,5.836253755,0.262521798,549.9107581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.444971308,960.1307162,34.11129552,1046.744078,5.404130417,0.250738373,536.9374899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.556213313,1708.641032,31.69299776,1366.438433,6.397362803,0.259824139,782.2186047,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.604488354,1733.904613,31.1949039,1348.911627,4.116088542,0.326749177,911.2698422,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.566010785,1257.157912,28.98079151,2143.76555,6.304579609,0.312225082,894.870299,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.560151874,1262.664024,30.64676628,1819.424156,5.519052008,0.295979567,907.4577829,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.647444107,2035.485005,30.48610557,1266.026846,3.780869865,0.402904057,804.8096461,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.460986502,1002.831118,33.68190046,810.7478848,5.831968387,0.229807199,611.6862908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.491116841,1495.835688,34.85418125,832.5017863,6.665916851,0.257345637,631.2776655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.307032875,610.0135272,41.24038676,512.5946918,3.770115227,0.15251361,333.942078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.682516714,1681.37331,28.32266083,1901.077079,5.31820665,0.388773008,1107.026188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.632131352,2029.778363,30.12413243,1541.235014,3.901326804,0.36918279,937.363924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.626970002,2243.269714,30.76005468,1207.112456,3.444697466,0.358627411,822.3528333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
