Item,Element,Year,Unit,Value
Sugar cane,Production,2022,t,8799800
Sugar cane,Area harvested,2023,ha,80700
Sugar cane,Yield,2023,kg/ha,68848.8
Sugar cane,Production,2023,t,5556100
Sugar cane,Area harvested,2024,ha,134900
Sugar cane,Yield,2024,kg/ha,69424
Sugar cane,Production,2024,t,9365300
Tea leaves,Area harvested,2000,ha,120390
Tea leaves,Yield,2000,kg/ha,8530.6
Tea leaves,Production,2000,t,1027000
Tea leaves,Area harvested,2001,ha,124290
Tea leaves,Yield,2001,kg/ha,10306.5
Tea leaves,Production,2001,t,1281000
Tea leaves,Area harvested,2002,ha,131450
Tea leaves,Yield,2002,kg/ha,9494.1
Tea leaves,Production,2002,t,1248000
Tea leaves,Area harvested,2003,ha,131450
Tea leaves,Yield,2003,kg/ha,9714.7
Tea leaves,Production,2003,t,1277000
Tea leaves,Area harvested,2004,ha,136700
Tea leaves,Yield,2004,kg/ha,10321.9
Tea leaves,Production,2004,t,1411000
Tea leaves,Area harvested,2005,ha,141300
Tea leaves,Yield,2005,kg/ha,10106.2
Tea leaves,Production,2005,t,1428000
Tea leaves,Area harvested,2006,ha,147080
Tea leaves,Yield,2006,kg/ha,9178.7
Tea leaves,Production,2006,t,1350000
Tea leaves,Area harvested,2007,ha,149190
Tea leaves,Yield,2007,kg/ha,10771.5
Tea leaves,Production,2007,t,1607000
Tea leaves,Area harvested,2008,ha,157700
Tea leaves,Yield,2008,kg/ha,9530.8
Tea leaves,Production,2008,t,1503000
Tea leaves,Area harvested,2009,ha,158294
Tea leaves,Yield,2009,kg/ha,8629.5
Tea leaves,Production,2009,t,1366000
Tea leaves,Area harvested,2010,ha,171916
Tea leaves,Yield,2010,kg/ha,10092.1
Tea leaves,Production,2010,t,1735000
Tea leaves,Area harvested,2011,ha,187855
Tea leaves,Yield,2011,kg/ha,8746.1
Tea leaves,Production,2011,t,1643000
Tea leaves,Area harvested,2012,ha,190600
Tea leaves,Yield,2012,kg/ha,8426
Tea leaves,Production,2012,t,1606000
Tea leaves,Area harvested,2013,ha,198600
Tea leaves,Yield,2013,kg/ha,9466.3
Tea leaves,Production,2013,t,1880000
Tea leaves,Area harvested,2014,ha,203006
Tea leaves,Yield,2014,kg/ha,9531.7
Tea leaves,Production,2014,t,1935000
Tea leaves,Area harvested,2015,ha,209400
Tea leaves,Yield,2015,kg/ha,8285.6
Tea leaves,Production,2015,t,1735000
Tea leaves,Area harvested,2016,ha,218500
Tea leaves,Yield,2016,kg/ha,9414.2
Tea leaves,Production,2016,t,2057000
Tea leaves,Area harvested,2017,ha,232700
Tea leaves,Yield,2017,kg/ha,8216.6
Tea leaves,Production,2017,t,1912000
Tea leaves,Area harvested,2018,ha,236200
Tea leaves,Yield,2018,kg/ha,9072.8
Tea leaves,Production,2018,t,2143000
Tea leaves,Area harvested,2019,ha,269400
Tea leaves,Yield,2019,kg/ha,7405.3
Tea leaves,Production,2019,t,1995000
Tea leaves,Area harvested,2020,ha,269400
Tea leaves,Yield,2020,kg/ha,11321.5
Tea leaves,Production,2020,t,3050000
Tea leaves,Area harvested,2021,ha,219000
Tea leaves,Yield,2021,kg/ha,11100
Tea leaves,Production,2021,t,2430900
Tea leaves,Area harvested,2022,ha,225800
Tea leaves,Yield,2022,kg/ha,10709.5
Tea leaves,Production,2022,t,2418200
Tea leaves,Area harvested,2023,ha,227800
Tea leaves,Yield,2023,kg/ha,11316.1
Tea leaves,Production,2023,t,2577800
Tea leaves,Area harvested,2024,ha,228400
Tea leaves,Yield,2024,kg/ha,11765.3
Tea leaves,Production,2024,t,2687200
